userID	bookmarkID	tagID	day	month	year	hour	minute	second
8	1	1	8	11	2010	23	29	22
8	2	1	8	11	2010	23	25	59
8	7	1	8	11	2010	18	55	1
8	7	6	8	11	2010	18	55	1
8	7	7	8	11	2010	18	55	1
8	8	1	8	11	2010	18	49	5
8	8	8	8	11	2010	18	49	5
8	8	9	8	11	2010	18	49	5
8	9	1	8	11	2010	18	37	13
8	9	10	8	11	2010	18	37	13
8	10	1	8	11	2010	18	35	30
8	10	11	8	11	2010	18	35	30
8	11	1	8	11	2010	18	32	2
8	11	12	8	11	2010	18	32	2
8	11	13	8	11	2010	18	32	2
8	14	1	8	11	2010	18	19	0
8	14	15	8	11	2010	18	19	0
8	14	16	8	11	2010	18	19	0
8	14	17	8	11	2010	18	19	0
8	14	18	8	11	2010	18	19	0
8	15	1	8	11	2010	18	11	59
8	15	19	8	11	2010	18	11	59
8	16	1	8	11	2010	16	55	54
8	16	5	8	11	2010	16	55	54
8	17	1	8	11	2010	16	53	35
8	17	20	8	11	2010	16	53	35
8	18	1	8	11	2010	16	52	13
8	18	21	8	11	2010	16	52	13
8	19	1	8	11	2010	16	47	42
8	19	22	8	11	2010	16	47	42
8	20	1	8	11	2010	16	46	52
8	20	23	8	11	2010	16	46	52
8	22	1	8	11	2010	16	39	4
8	22	10	8	11	2010	16	39	4
8	22	25	8	11	2010	16	39	4
8	24	1	8	11	2010	16	23	46
8	24	27	8	11	2010	16	23	46
8	25	1	8	11	2010	16	19	21
8	25	28	8	11	2010	16	19	21
8	26	1	8	11	2010	16	9	59
8	26	29	8	11	2010	16	9	59
8	27	1	8	11	2010	15	51	33
8	27	30	8	11	2010	15	51	33
8	30	1	8	11	2010	3	32	5
8	30	33	8	11	2010	3	32	5
8	32	1	8	11	2010	3	28	12
8	32	35	8	11	2010	3	28	12
8	33	1	8	11	2010	3	25	29
8	33	36	8	11	2010	3	25	29
8	34	1	8	11	2010	3	23	31
8	34	37	8	11	2010	3	23	31
8	35	1	8	11	2010	3	22	11
8	35	38	8	11	2010	3	22	11
8	36	1	8	11	2010	3	19	57
8	36	39	8	11	2010	3	19	57
8	37	1	8	11	2010	3	18	22
8	37	40	8	11	2010	3	18	22
8	38	1	8	11	2010	3	17	12
8	38	41	8	11	2010	3	17	12
8	41	43	7	11	2010	19	19	59
8	42	43	7	11	2010	19	1	12
8	43	44	7	11	2010	18	59	49
8	44	45	7	11	2010	0	55	16
8	45	46	7	11	2010	0	42	24
8	46	47	7	11	2010	0	40	59
8	48	49	7	11	2010	0	35	53
8	48	50	7	11	2010	0	35	53
8	48	51	7	11	2010	0	35	53
8	48	52	7	11	2010	0	35	53
8	52	57	4	11	2010	22	7	46
8	53	51	4	11	2010	19	46	37
8	53	58	4	11	2010	19	46	37
8	53	59	4	11	2010	19	46	37
8	53	60	4	11	2010	19	46	37
8	53	61	4	11	2010	19	46	37
8	58	2	4	11	2010	15	58	26
8	58	66	4	11	2010	15	58	26
8	59	56	4	11	2010	15	54	29
8	60	2	4	11	2010	15	53	52
8	60	67	4	11	2010	15	53	52
8	61	1	4	11	2010	15	52	54
8	61	68	4	11	2010	15	52	54
8	62	69	4	11	2010	15	51	2
8	63	70	4	11	2010	15	50	3
8	64	71	4	11	2010	15	8	5
8	65	71	4	11	2010	15	7	20
8	68	45	1	11	2010	17	58	10
8	68	76	1	11	2010	17	58	10
8	68	77	1	11	2010	17	58	10
8	71	44	30	10	2010	21	23	3
8	72	45	30	10	2010	21	18	38
8	72	79	30	10	2010	21	18	38
8	73	24	30	10	2010	21	14	19
8	73	56	30	10	2010	21	14	19
8	73	80	30	10	2010	21	14	19
8	74	24	30	10	2010	21	12	43
8	74	81	30	10	2010	21	12	43
8	74	82	30	10	2010	21	12	43
8	74	83	30	10	2010	21	12	43
8	75	45	30	10	2010	13	46	17
8	75	76	30	10	2010	13	46	17
8	75	84	30	10	2010	13	46	17
8	76	45	30	10	2010	3	55	33
8	76	76	30	10	2010	3	55	33
8	78	45	30	10	2010	3	3	10
8	78	76	30	10	2010	3	3	10
8	78	86	30	10	2010	3	3	10
8	78	87	30	10	2010	3	3	10
8	79	45	30	10	2010	2	40	42
8	79	88	30	10	2010	2	40	42
8	79	89	30	10	2010	2	40	42
8	79	90	30	10	2010	2	40	42
8	79	91	30	10	2010	2	40	42
8	79	92	30	10	2010	2	40	42
8	79	93	30	10	2010	2	40	42
8	80	45	30	10	2010	2	35	7
8	80	88	30	10	2010	2	35	7
8	80	94	30	10	2010	2	35	7
8	80	95	30	10	2010	2	35	7
8	81	96	30	10	2010	2	9	0
8	81	97	30	10	2010	2	9	0
8	82	68	30	10	2010	2	5	58
8	82	98	30	10	2010	2	5	58
8	82	99	30	10	2010	2	5	58
8	82	100	30	10	2010	2	5	58
8	83	2	30	10	2010	2	3	59
8	83	101	30	10	2010	2	3	59
8	83	102	30	10	2010	2	3	59
8	84	2	30	10	2010	2	1	35
8	84	103	30	10	2010	2	1	35
8	85	104	29	10	2010	23	37	15
8	85	105	29	10	2010	23	37	15
8	87	2	29	10	2010	23	25	35
8	87	25	29	10	2010	23	25	35
8	87	82	29	10	2010	23	25	35
8	87	108	29	10	2010	23	25	35
8	88	2	29	10	2010	23	21	22
8	88	25	29	10	2010	23	21	22
8	88	66	29	10	2010	23	21	22
8	88	82	29	10	2010	23	21	22
8	88	106	29	10	2010	23	21	22
8	89	82	29	10	2010	19	28	55
8	89	109	29	10	2010	19	28	55
8	90	24	29	10	2010	19	9	59
8	91	24	29	10	2010	19	9	3
8	92	24	29	10	2010	19	7	15
8	93	24	29	10	2010	18	53	56
8	93	25	29	10	2010	18	53	56
8	93	66	29	10	2010	18	53	56
8	94	2	29	10	2010	18	52	46
8	96	111	29	10	2010	18	15	24
8	98	112	28	10	2010	20	50	28
